Ewe/V	<I>/mA	cycle number	
5,0979819E-002	-1,790349036455154E-001	1,000000000000000E+000
5,1274162E-002	-1,748799242024280E+000	1,000000000000000E+000
5,2721780E-002	3,382073295734807E-001	1,000000000000000E+000
5,3500127E-002	-1,425653177522892E-001	1,000000000000000E+000
5,4563295E-002	1,039342857725891E-001	1,000000000000000E+000
5,5590358E-002	9,123994607297314E-002	1,000000000000000E+000
5,6629620E-002	1,232828960508210E-001	1,000000000000000E+000
5,7594009E-002	1,569032281695399E-001	1,000000000000000E+000
5,8644842E-002	1,802764316057131E-001	1,000000000000000E+000
5,9731685E-002	1,989567505046974E-001	1,000000000000000E+000
6,0657289E-002	2,078566961475496E-001	1,000000000000000E+000
6,1600916E-002	2,281027242198537E-001	1,000000000000000E+000
6,2691607E-002	2,305106886617274E-001	1,000000000000000E+000
6,3661553E-002	2,399537489788304E-001	1,000000000000000E+000
6,4643390E-002	2,576093374712706E-001	1,000000000000000E+000
6,5667845E-002	2,579742397615019E-001	1,000000000000000E+000
6,6618890E-002	2,623170873557696E-001	1,000000000000000E+000
6,7613684E-002	2,697976879005886E-001	1,000000000000000E+000
6,8591133E-002	2,849647252037855E-001	1,000000000000000E+000
6,9594927E-002	2,833014055116418E-001	1,000000000000000E+000
7,0621334E-002	2,872072001757449E-001	1,000000000000000E+000
7,1619727E-002	2,914672887418419E-001	1,000000000000000E+000
7,2625965E-002	2,977640871572973E-001	1,000000000000000E+000
7,3613256E-002	3,102748967907656E-001	1,000000000000000E+000
7,4687883E-002	3,094835617877028E-001	1,000000000000000E+000
7,5466126E-002	3,128462288231173E-001	1,000000000000000E+000
7,6700166E-002	3,139600470377543E-001	1,000000000000000E+000
7,7774972E-002	3,174118075791432E-001	1,000000000000000E+000
7,8642793E-002	3,208169339147084E-001	1,000000000000000E+000
7,9546094E-002	3,265726959798494E-001	1,000000000000000E+000
8,0558591E-002	3,307840042074934E-001	1,000000000000000E+000
8,1728153E-002	3,384597871724202E-001	1,000000000000000E+000
8,2592390E-002	3,373947842369986E-001	1,000000000000000E+000
8,3612435E-002	3,403204105367568E-001	1,000000000000000E+000
8,4685959E-002	3,414342241271191E-001	1,000000000000000E+000
8,5610271E-002	3,442007374833342E-001	1,000000000000000E+000
8,6629882E-002	3,481234841876577E-001	1,000000000000000E+000
8,7622970E-002	3,505823803586985E-001	1,000000000000000E+000
8,8636003E-002	3,539705138213716E-001	1,000000000000000E+000
8,9667715E-002	3,567731023520340E-001	1,000000000000000E+000
9,0621553E-002	3,640139737463972E-001	1,000000000000000E+000
9,1594197E-002	3,691311783946343E-001	1,000000000000000E+000
9,2598744E-002	3,665683341096151E-001	1,000000000000000E+000
9,3662083E-002	3,688617387152693E-001	1,000000000000000E+000
9,4653256E-002	3,706205244266627E-001	1,000000000000000E+000
9,5636792E-002	3,734485311757059E-001	1,000000000000000E+000
9,6661501E-002	3,760516866071466E-001	1,000000000000000E+000
9,7620837E-002	3,781477783146940E-001	1,000000000000000E+000
9,8670378E-002	3,809842997127104E-001	1,000000000000000E+000
9,9619731E-002	3,827197623322722E-001	1,000000000000000E+000
1,0432681E-001	3,912420968277033E-001	1,000000000000000E+000
1,0907828E-001	4,071052718209098E-001	1,000000000000000E+000
1,1012634E-001	4,171016609761855E-001	1,000000000000000E+000
1,1094388E-001	4,174000675880558E-001	1,000000000000000E+000
1,1206453E-001	4,171300940474305E-001	1,000000000000000E+000
1,1315633E-001	4,183109441138284E-001	1,000000000000000E+000
1,1400875E-001	4,235913195944807E-001	1,000000000000000E+000
1,1499557E-001	4,326906145304550E-001	1,000000000000000E+000
1,1612535E-001	4,293679795615990E-001	1,000000000000000E+000
1,1707067E-001	4,274461107690719E-001	1,000000000000000E+000
1,1809092E-001	4,297868068420545E-001	1,000000000000000E+000
1,1901141E-001	4,320904191311756E-001	1,000000000000000E+000
1,2003931E-001	4,338424122995814E-001	1,000000000000000E+000
1,2117165E-001	4,363386154291211E-001	1,000000000000000E+000
1,2200933E-001	4,394610675129416E-001	1,000000000000000E+000
1,2303425E-001	4,404756577763100E-001	1,000000000000000E+000
1,2401716E-001	4,429071689244459E-001	1,000000000000000E+000
1,2485379E-001	4,454031487305965E-001	1,000000000000000E+000
1,2599547E-001	4,466075396630904E-001	1,000000000000000E+000
1,2716512E-001	4,491641696270881E-001	1,000000000000000E+000
1,2789604E-001	4,613598542766537E-001	1,000000000000000E+000
1,2931368E-001	4,591635561082521E-001	1,000000000000000E+000
1,3008939E-001	4,553416593892825E-001	1,000000000000000E+000
1,3110541E-001	4,567294948630858E-001	1,000000000000000E+000
1,3204350E-001	4,597134483499552E-001	1,000000000000000E+000
1,3314019E-001	4,621403031309876E-001	1,000000000000000E+000
1,3410248E-001	4,623549199766588E-001	1,000000000000000E+000
1,3513015E-001	4,651142855485286E-001	1,000000000000000E+000
1,3609651E-001	4,674170661019166E-001	1,000000000000000E+000
1,3713522E-001	4,683538070013227E-001	1,000000000000000E+000
1,3805039E-001	4,701208799508299E-001	1,000000000000000E+000
1,3904794E-001	4,716801061941721E-001	1,000000000000000E+000
1,4006351E-001	4,735152204262292E-001	1,000000000000000E+000
1,4115658E-001	4,756042166005097E-001	1,000000000000000E+000
1,4209978E-001	4,773288591726077E-001	1,000000000000000E+000
1,4305742E-001	4,789429910338698E-001	1,000000000000000E+000
1,4402434E-001	4,891930172840753E-001	1,000000000000000E+000
1,4508238E-001	4,900256748401794E-001	1,000000000000000E+000
1,4608397E-001	4,862344980356283E-001	1,000000000000000E+000
1,4715473E-001	4,865613239364590E-001	1,000000000000000E+000
1,4800432E-001	4,885920059750792E-001	1,000000000000000E+000
1,4893009E-001	4,922145450254911E-001	1,000000000000000E+000
1,5006223E-001	4,936384637581384E-001	1,000000000000000E+000
1,5114555E-001	4,954901254839372E-001	1,000000000000000E+000
1,5198895E-001	4,971681075080099E-001	1,000000000000000E+000
1,5303107E-001	4,991005794985952E-001	1,000000000000000E+000
1,5407680E-001	5,020957559463577E-001	1,000000000000000E+000
1,5513146E-001	5,037419737070916E-001	1,000000000000000E+000
1,5603006E-001	5,059138606108422E-001	1,000000000000000E+000
1,5705742E-001	5,115789277802438E-001	1,000000000000000E+000
1,5809557E-001	5,201472080532554E-001	1,000000000000000E+000
1,5898404E-001	5,164152313696437E-001	1,000000000000000E+000
1,5998793E-001	5,149162326965273E-001	1,000000000000000E+000
1,6108418E-001	5,166624677820231E-001	1,000000000000000E+000
1,6206390E-001	5,203297642227804E-001	1,000000000000000E+000
1,6298692E-001	5,225931442562590E-001	1,000000000000000E+000
1,6404560E-001	5,247442269464964E-001	1,000000000000000E+000
1,6504800E-001	5,266843298385453E-001	1,000000000000000E+000
1,6609500E-001	5,284437599540164E-001	1,000000000000000E+000
1,6708003E-001	5,302729481481947E-001	1,000000000000000E+000
1,6807629E-001	5,332586246206308E-001	1,000000000000000E+000
1,6906005E-001	5,360139758882312E-001	1,000000000000000E+000
1,7003001E-001	5,393334682190067E-001	1,000000000000000E+000
1,7097081E-001	5,492971609152550E-001	1,000000000000000E+000
1,7205031E-001	5,474279269175071E-001	1,000000000000000E+000
1,7297271E-001	5,465051634560556E-001	1,000000000000000E+000
1,7403689E-001	5,472309257796351E-001	1,000000000000000E+000
1,7505416E-001	5,500297100839386E-001	1,000000000000000E+000
1,7598142E-001	5,520521044963971E-001	1,000000000000000E+000
1,7705072E-001	5,542895628346347E-001	1,000000000000000E+000
1,7805508E-001	5,570497910181711E-001	1,000000000000000E+000
1,7911500E-001	5,596715031683228E-001	1,000000000000000E+000
1,8016371E-001	5,614903035521932E-001	1,000000000000000E+000
1,8101986E-001	5,643576648047510E-001	1,000000000000000E+000
1,8205309E-001	5,663573270560143E-001	1,000000000000000E+000
1,8313849E-001	5,754876438683549E-001	1,000000000000000E+000
1,8406022E-001	5,784060281584980E-001	1,000000000000000E+000
1,8505861E-001	5,748967289239086E-001	1,000000000000000E+000
1,8610093E-001	5,752846734507742E-001	1,000000000000000E+000
1,8704286E-001	5,783714946656922E-001	1,000000000000000E+000
1,8802342E-001	5,809978736085917E-001	1,000000000000000E+000
1,8912327E-001	5,830928123775969E-001	1,000000000000000E+000
1,9002743E-001	5,855423369858812E-001	1,000000000000000E+000
1,9098358E-001	5,872735586664124E-001	1,000000000000000E+000
1,9207728E-001	5,895173258484441E-001	1,000000000000000E+000
1,9301134E-001	5,924035767028633E-001	1,000000000000000E+000
1,9408126E-001	5,944524797442767E-001	1,000000000000000E+000
1,9512405E-001	5,979804150216914E-001	1,000000000000000E+000
1,9605063E-001	6,085920621149441E-001	1,000000000000000E+000
1,9702588E-001	6,064511205962244E-001	1,000000000000000E+000
1,9808179E-001	6,042760238568796E-001	1,000000000000000E+000
1,9920245E-001	6,058856800599557E-001	1,000000000000000E+000
1,9990383E-001	6,086594509376622E-001	1,000000000000000E+000
2,0068642E-001	6,094158589839935E-001	1,000000000000000E+000
2,0053522E-001	5,270724824448649E-001	1,000000000000000E+000
1,9956909E-001	2,808965496919384E-001	1,000000000000000E+000
1,9779627E-001	1,829778381862628E-001	1,000000000000000E+000
