Ewe/V	<I>/mA	
2,1209261E-004	0,000000000000000E+000
2,7178208E-005	0,000000000000000E+000
6,5388820E-005	0,000000000000000E+000
1,9536094E-005	1,192915917293541E-005
1,9148385E-004	2,316719862521651E-002
1,4563109E-004	2,574195045554117E-002
2,1823125E-004	2,621023182436129E-002
1,9148388E-004	2,632314235234189E-002
1,6473644E-004	2,531650032839744E-002
1,4181006E-004	2,531116749436168E-002
1,6473640E-004	2,487672305105358E-002
1,7237852E-004	2,519670915665174E-002
1,9148388E-004	2,504841984905153E-002
1,6473641E-004	2,453951304446374E-002
1,7619958E-004	2,406106411764060E-002
2,0294702E-004	2,366805653273690E-002
1,6855745E-004	2,268791417573548E-002
1,4945217E-004	2,195077025351547E-002
2,0294702E-004	2,241562590862052E-002
1,1888368E-004	2,287343846190909E-002
1,7619958E-004	2,299187086527655E-002
1,7237852E-004	2,222338891141994E-002
1,8384172E-004	2,271605399304346E-002
1,6855750E-004	2,283999086314324E-002
1,6473640E-004	2,338536107198141E-002
1,6091534E-004	2,416974493936108E-002
1,4945217E-004	2,402443456134087E-002
1,4181003E-004	2,325860184811947E-002
1,8766279E-004	2,418154061578614E-002
1,5327323E-004	2,491119676913713E-002
2,1058918E-004	2,358156168241972E-002
1,5709430E-004	2,366028831394885E-002
1,8384172E-004	2,434260281426190E-002
1,8002064E-004	2,395053059650412E-002
1,9148388E-004	2,435549118988467E-002
1,9530491E-004	2,405342619460931E-002
1,9148384E-004	2,382394936366438E-002
1,3798897E-004	2,382621803757377E-002
1,9530491E-004	2,363188669776072E-002
1,6855745E-004	2,308388088061500E-002
1,8384172E-004	2,217275137774263E-002
2,2205233E-004	2,282906723622088E-002
2,1823129E-004	2,215229302875786E-002
1,5327323E-004	2,165513612199162E-002
1,6091536E-004	2,214014815664992E-002
1,4181003E-004	2,286416404898320E-002
1,9148384E-004	2,258931201392327E-002
1,5327324E-004	2,230429665092756E-002
1,8766279E-004	2,248480294672799E-002
1,4945217E-004	2,288794907223025E-002
1,2270473E-004	2,304119637589199E-002
1,8002067E-004	2,283630982435765E-002
2,0294706E-004	2,283921496077786E-002
1,9148384E-004	2,253490915602018E-002
1,9148384E-004	2,305611105318834E-002
1,4945217E-004	2,304369408549760E-002
1,7237855E-004	2,365202426161725E-002
1,5709428E-004	2,269212391741934E-002
2,0294702E-004	2,307735390958677E-002
2,4115764E-004	2,430383808132411E-002
1,7619961E-004	2,368284471928809E-002
1,9530491E-004	2,265701375135360E-002
2,0294702E-004	2,261511798709172E-002
1,8766279E-004	2,291947176986436E-002
1,9912599E-004	2,306656974934107E-002
1,4945214E-004	2,255349076107465E-002
1,9912599E-004	2,269186253614423E-002
1,9148384E-004	2,209243720328189E-002
1,4563111E-004	2,254365657558356E-002
1,6855750E-004	2,336318906557421E-002
1,7619961E-004	2,296362540618362E-002
1,9148385E-004	2,270244384762253E-002
1,9148388E-004	2,257494854698468E-002
1,8002067E-004	2,244680905795628E-002
2,2587336E-004	2,279340578715422E-002
1,9530491E-004	2,277879524442816E-002
1,9530491E-004	2,249632243124092E-002
2,1441022E-004	2,221145403095120E-002
2,0294702E-004	2,174705964242014E-002
1,8384169E-004	2,124081129893382E-002
1,4181003E-004	2,099395755665479E-002
1,9912595E-004	2,053345749803822E-002
1,5327323E-004	2,062820608237767E-002
1,9530491E-004	2,091252188799173E-002
2,0676809E-004	2,119863044378613E-002
1,8766275E-004	2,094153515215883E-002
1,9912596E-004	2,176256360477725E-002
1,8002067E-004	2,248406343113652E-002
1,8384177E-004	2,188352565839014E-002
1,6855750E-004	2,152762365074529E-002
1,5709430E-004	2,153271384506939E-002
2,3351551E-004	2,139785092996126E-002
1,6855745E-004	2,083712021969900E-002
1,7619961E-004	2,012831037638748E-002
1,8384172E-004	1,932760142261273E-002
1,9530491E-004	1,940041496291408E-002
1,9148388E-004	1,970454360329150E-002
2,1441022E-004	2,093931894151403E-002
2,1823125E-004	2,161865904927824E-002
1,6091534E-004	2,075309553605292E-002
1,7619958E-004	2,130276962950605E-002
2,1441022E-004	2,014601930497286E-002
1,8384169E-004	2,028896131994024E-002
1,8766279E-004	1,965328868766824E-002
1,6855750E-004	1,981033485509021E-002
1,9530491E-004	2,015408610615841E-002
2,2205237E-004	1,980264977472543E-002
1,8384172E-004	1,907867727569222E-002
1,5327324E-004	1,887221075064383E-002
1,6091534E-004	1,955269675512509E-002
2,1058915E-004	2,017439988444615E-002
1,7237852E-004	1,961734330106567E-002
1,6855750E-004	1,982404152762808E-002
1,9912598E-004	1,954356720197877E-002
2,0676811E-004	2,006935234477853E-002
1,3798897E-004	2,081920314125799E-002
1,8766279E-004	2,077192647814612E-002
2,0294703E-004	2,161624110819822E-002
1,6855745E-004	2,126910447936920E-002
1,9148384E-004	2,153789682743647E-002
1,8384169E-004	2,124777750293349E-002
2,0294702E-004	2,139156057298750E-002
2,1823125E-004	2,160596815353435E-002
1,8002064E-004	2,100785254411213E-002
2,0294702E-004	2,007801535894737E-002
1,5709430E-004	2,018998474446436E-002
2,1823129E-004	2,034187120438857E-002
2,0676811E-004	2,135091491559853E-002
1,6855745E-004	2,106212141598579E-002
1,5709428E-004	2,121244395578983E-002
2,2587342E-004	2,115025399895444E-002
1,3416792E-004	2,068051897823725E-002
2,1823125E-004	1,949352196972983E-002
1,9530491E-004	1,952905508179741E-002
2,3733660E-004	1,937940701401459E-002
1,4563111E-004	1,916860751691133E-002
1,4563111E-004	1,937836021188462E-002
2,4115763E-004	1,838991275283171E-002
1,4945219E-004	1,895451279444728E-002
1,6855750E-004	1,904824875954888E-002
1,6855750E-004	2,058021770477146E-002
1,9148388E-004	2,067515271493561E-002
2,1441022E-004	2,015724361461143E-002
1,7619961E-004	1,941408375558166E-002
1,7619958E-004	1,962585096503720E-002
2,0676811E-004	1,915882251642929E-002
1,5709428E-004	1,897205693257697E-002
1,5327323E-004	1,879600691259064E-002
2,0294702E-004	1,945469346689858E-002
1,0359943E-004	1,937949926226299E-002
1,9530491E-004	1,974481104237772E-002
1,8384172E-004	2,019468981305227E-002
1,7619961E-004	1,951502989804855E-002
1,5327323E-004	1,986029151371718E-002
2,0676811E-004	2,092472549936099E-002
2,2205233E-004	2,131966859949381E-002
2,1441022E-004	2,009602544671361E-002
1,8766279E-004	1,968756578455234E-002
2,0676811E-004	1,963102961302891E-002
1,6473644E-004	1,924941681897308E-002
2,1058913E-004	1,905552785329632E-002
2,0294702E-004	1,859636439944281E-002
1,3416792E-004	1,870857434111655E-002
2,1058913E-004	1,933715389195858E-002
1,7619958E-004	1,912775719095060E-002
1,4945219E-004	1,855515516447703E-002
1,7619961E-004	1,899264172648583E-002
1,9912595E-004	1,915069383220987E-002
1,6473641E-004	1,928686458203588E-002
1,3416792E-004	1,974743974287929E-002
1,8002068E-004	1,999428242328103E-002
1,8766278E-004	2,057515026154085E-002
1,6091534E-004	2,065610425946939E-002
1,8766279E-004	2,040190818626597E-002
2,2969444E-004	1,945459760660861E-002
2,1441022E-004	1,915658542627690E-002
1,8384169E-004	1,932890473408302E-002
1,6091534E-004	1,950258284304995E-002
1,7619961E-004	1,870378194129102E-002
1,6473640E-004	1,881650008596253E-002
1,1506262E-004	1,915915545382732E-002
1,9912596E-004	1,916968891842087E-002
1,7237855E-004	1,874942320527332E-002
1,6855750E-004	1,955661959096166E-002
1,5327323E-004	2,009875646492352E-002
1,8384172E-004	2,014641158848201E-002
1,9912595E-004	1,912334762804285E-002
1,5709428E-004	1,881114292615303E-002
1,2270473E-004	1,896765369744749E-002
1,7237855E-004	1,850506172026489E-002
1,4181003E-004	1,853441709573014E-002
1,4563113E-004	1,793593180711581E-002
1,5327323E-004	1,847999442971297E-002
1,6473644E-004	1,796065730376432E-002
2,2205233E-004	1,804825362149522E-002
2,0676811E-004	1,735410073244011E-002
1,3416792E-004	1,652004958456973E-002
1,7237852E-004	1,570835018613282E-002
1,8384172E-004	1,692456429775693E-002
1,3416792E-004	1,674946076546714E-002
1,8766279E-004	1,661451028573196E-002
1,3416792E-004	1,657539272439436E-002
1,6473641E-004	1,672248659506203E-002
1,9912599E-004	1,719280776470426E-002
1,8384169E-004	1,723927918599494E-002
1,9148384E-004	1,681042242402463E-002
1,3416792E-004	1,570436075905411E-002
1,5327323E-004	1,572349373148733E-002
1,5327323E-004	1,590668737000683E-002
1,6855750E-004	1,641452546105162E-002
1,5709428E-004	1,753181462134278E-002
1,9530491E-004	1,756073683196212E-002
1,3416792E-004	1,841461586011243E-002
1,7619958E-004	1,849571458706284E-002
1,8766275E-004	1,845319014987236E-002
1,4181003E-004	1,910194544022928E-002
2,0676811E-004	1,932627498491221E-002
1,9148384E-004	1,925932499916217E-002
2,2969444E-004	1,885221478023224E-002
1,6473641E-004	1,729175556920364E-002
1,8002068E-004	1,781054446726201E-002
1,9530491E-004	1,817427914941434E-002
1,3034686E-004	1,806283613848913E-002
1,6473640E-004	1,840971398294297E-002
1,6473640E-004	1,922012764527086E-002
1,4563109E-004	1,909379354074518E-002
1,8002064E-004	1,952810903685163E-002
1,9530491E-004	1,953404549794363E-002
1,3416792E-004	1,912405643941837E-002
2,1058918E-004	1,821994414349644E-002
2,2587339E-004	1,775668199514039E-002
1,2652579E-004	1,711871102670677E-002
1,9148384E-004	1,775250182816443E-002
1,3798897E-004	1,716109054022895E-002
1,8766279E-004	1,815227849109150E-002
1,9148388E-004	1,921596376340186E-002
1,9912599E-004	1,861646604740214E-002
2,2205233E-004	1,814641075490172E-002
1,5709430E-004	1,765868203546084E-002
1,9148384E-004	1,755046082218760E-002
1,8002064E-004	1,714590917218736E-002
1,5327324E-004	1,621651019851942E-002
1,2270475E-004	1,681559511658086E-002
1,2270475E-004	1,724056436463673E-002
5,5830571E-004	1,094868136288876E-001
5,0205354E-002	9,745725387150795E+000
5,0251205E-002	1,023558128503127E+001
5,0239742E-002	9,910348201291818E+000
5,0186247E-002	9,673437509576969E+000
5,0174788E-002	9,492954814587906E+000
5,0201531E-002	9,350381531986873E+000
5,0255027E-002	9,238756166198534E+000
5,0201531E-002	9,151202524193348E+000
5,0209176E-002	9,082252162153358E+000
5,0190069E-002	9,024362648056668E+000
