freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1,9999814E+005	8,6731285E-001	-2,3480120E+000
1,4967155E+005	8,5135567E-001	-1,7509726E+000
1,1201009E+005	8,4343189E-001	-1,3032119E+000
8,3831281E+004	8,4051412E-001	-9,6731412E-001
6,2731957E+004	8,4074861E-001	-7,1419287E-001
4,6949230E+004	8,4277511E-001	-5,2252388E-001
3,5137691E+004	8,4644902E-001	-3,7778980E-001
2,6295281E+004	8,5131824E-001	-2,6614341E-001
1,9679703E+004	8,5740972E-001	-1,8061702E-001
1,4724984E+004	8,6551529E-001	-1,1235301E-001
1,1022866E+004	8,7504786E-001	-5,7417162E-002
8,2460791E+003	8,8680363E-001	-1,1496064E-002
6,1718745E+003	9,0217644E-001	2,7937934E-002
4,6185254E+003	9,2139417E-001	6,2823407E-002
3,4561082E+003	9,4585019E-001	9,3380608E-002
2,5874824E+003	9,7568750E-001	1,1922912E-001
1,9356161E+003	1,0102872E+000	1,4054212E-001
1,4486089E+003	1,0490456E+000	1,5534632E-001
1,0846555E+003	1,0907230E+000	1,6351147E-001
8,1130115E+002	1,1334469E+000	1,6472389E-001
6,0752704E+002	1,1734354E+000	1,5757059E-001
4,5456366E+002	1,2090336E+000	1,4485431E-001
3,4010858E+002	1,2388512E+000	1,2843099E-001
2,5459230E+002	1,2614604E+000	1,1141237E-001
1,9054860E+002	1,2794517E+000	9,5699549E-002
1,4258176E+002	1,2930884E+000	8,0487907E-002
1,0667294E+002	1,3028096E+000	6,8597198E-002
7,9872459E+001	1,3112684E+000	5,9681851E-002
5,9751423E+001	1,3183413E+000	5,2869588E-002
4,4728069E+001	1,3249907E+000	4,7539152E-002
3,3468456E+001	1,3300880E+000	4,3191310E-002
2,5040060E+001	1,3361931E+000	4,0472958E-002
1,8746258E+001	1,3412606E+000	3,8720898E-002
1,4026016E+001	1,3460335E+000	3,7896607E-002
1,0500699E+001	1,3517495E+000	3,8582467E-002
7,8596921E+000	1,3562182E+000	3,9575621E-002
5,8784785E+000	1,3624952E+000	4,1801181E-002
4,3989272E+000	1,3680341E+000	4,4727940E-002
3,2936335E+000	1,3742300E+000	4,9828649E-002
2,4637356E+000	1,3822335E+000	5,2893464E-002
1,8447489E+000	1,3901830E+000	6,3570105E-002
1,3807863E+000	1,3985605E+000	7,0239864E-002
1,0334030E+000	1,4150966E+000	7,8608736E-002
7,7320635E-001	1,4266994E+000	8,9999557E-002
5,7853240E-001	1,4368457E+000	1,0142981E-001
4,3308958E-001	1,4563582E+000	1,1348056E-001
3,2406226E-001	1,4789013E+000	1,2692036E-001
2,4244338E-001	1,5022713E+000	1,4183165E-001
1,8150061E-001	1,5282696E+000	1,5115239E-001
1,3580322E-001	1,5536643E+000	1,5782800E-001
1,0159984E-001	1,5839767E+000	1,7418420E-001
7,6049566E-002	1,6257856E+000	1,9100598E-001
5,6936592E-002	1,6720704E+000	1,8933685E-001
4,2606294E-002	1,7125676E+000	1,7284429E-001
3,1884909E-002	1,7467697E+000	1,5583216E-001
2,3856983E-002	1,7817916E+000	1,3454486E-001
1,7856434E-002	1,8026314E+000	1,0001627E-001
1,3369620E-002	1,8112926E+000	8,0290273E-002
9,9972636E-003	1,8245404E+000	6,7122534E-002
