Ewe/V	<I>/mA	cycle number	
4,5646157E-002	3,578890860080719E-001	1,000000000000000E+000
4,6049748E-002	1,967948827671843E-001	1,000000000000000E+000
4,7206432E-002	4,037465162432967E-001	1,000000000000000E+000
4,8203710E-002	4,844951579968133E-001	1,000000000000000E+000
4,9148776E-002	5,033006149007848E-001	1,000000000000000E+000
5,0139308E-002	5,321941283699640E-001	1,000000000000000E+000
5,1204320E-002	5,725567811750816E-001	1,000000000000000E+000
5,2184865E-002	5,836058431434346E-001	1,000000000000000E+000
5,3182412E-002	6,020082231455799E-001	1,000000000000000E+000
5,4246388E-002	6,222754455844139E-001	1,000000000000000E+000
5,5183422E-002	6,395788851142337E-001	1,000000000000000E+000
5,6133199E-002	6,539481760442456E-001	1,000000000000000E+000
5,7162791E-002	6,686145597034030E-001	1,000000000000000E+000
5,8218706E-002	6,835248772210125E-001	1,000000000000000E+000
5,9221335E-002	6,961311598618840E-001	1,000000000000000E+000
6,0197823E-002	7,251179986762750E-001	1,000000000000000E+000
6,1144836E-002	7,238344465408257E-001	1,000000000000000E+000
6,2234290E-002	7,344125439154201E-001	1,000000000000000E+000
6,3165173E-002	7,453279344287420E-001	1,000000000000000E+000
6,4172477E-002	7,579045920994953E-001	1,000000000000000E+000
6,5222658E-002	7,671927515572587E-001	1,000000000000000E+000
6,6206820E-002	7,773295364394386E-001	1,000000000000000E+000
6,7143425E-002	7,885101533029220E-001	1,000000000000000E+000
6,8219289E-002	7,995550419178059E-001	1,000000000000000E+000
6,9201976E-002	8,071119799925425E-001	1,000000000000000E+000
7,0153445E-002	8,172997298598754E-001	1,000000000000000E+000
7,1183041E-002	8,282915269050530E-001	1,000000000000000E+000
7,2128564E-002	8,366122790224240E-001	1,000000000000000E+000
7,3146053E-002	8,475531111730081E-001	1,000000000000000E+000
7,4222982E-002	8,517559957690555E-001	1,000000000000000E+000
7,5246491E-002	8,796225962513642E-001	1,000000000000000E+000
7,5978145E-002	8,759862342331974E-001	1,000000000000000E+000
7,7163972E-002	8,854335943857858E-001	1,000000000000000E+000
7,8172132E-002	8,919361358405009E-001	1,000000000000000E+000
7,9197899E-002	9,016952945126437E-001	1,000000000000000E+000
8,0202647E-002	9,091165322913870E-001	1,000000000000000E+000
8,1162609E-002	9,161600790038271E-001	1,000000000000000E+000
8,2141466E-002	9,247948203054754E-001	1,000000000000000E+000
8,3193138E-002	9,346834288703079E-001	1,000000000000000E+000
8,4199160E-002	9,398790995279978E-001	1,000000000000000E+000
8,5208587E-002	9,497719193782874E-001	1,000000000000000E+000
8,6137556E-002	9,578614617672034E-001	1,000000000000000E+000
8,7182663E-002	9,676842523945712E-001	1,000000000000000E+000
8,8149406E-002	9,725405360546198E-001	1,000000000000000E+000
8,9208290E-002	9,813619638767310E-001	1,000000000000000E+000
9,0188846E-002	9,883206773989102E-001	1,000000000000000E+000
9,1200389E-002	9,981222101099179E-001	1,000000000000000E+000
9,2171177E-002	1,004588748121428E+000	1,000000000000000E+000
9,3194611E-002	1,012814047875710E+000	1,000000000000000E+000
9,4236739E-002	1,035803199499951E+000	1,000000000000000E+000
9,5166095E-002	1,029249664421920E+000	1,000000000000000E+000
9,6301600E-002	1,037661680408444E+000	1,000000000000000E+000
9,7159043E-002	1,045836098349858E+000	1,000000000000000E+000
9,8215170E-002	1,053083322605946E+000	1,000000000000000E+000
9,9199124E-002	1,057939535265584E+000	1,000000000000000E+000
1,0018562E-001	1,067917249760484E+000	1,000000000000000E+000
1,0120821E-001	1,074850470125156E+000	1,000000000000000E+000
1,0216880E-001	1,079288712224098E+000	1,000000000000000E+000
1,0320901E-001	1,090560607573330E+000	1,000000000000000E+000
1,0416282E-001	1,097780271006442E+000	1,000000000000000E+000
1,0520006E-001	1,102500807325770E+000	1,000000000000000E+000
1,0612435E-001	1,112788136983806E+000	1,000000000000000E+000
1,0718217E-001	1,117207415259649E+000	1,000000000000000E+000
1,0812153E-001	1,125031652304134E+000	1,000000000000000E+000
1,0920124E-001	1,132841088899621E+000	1,000000000000000E+000
1,1019750E-001	1,139025527764005E+000	1,000000000000000E+000
