freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1,9999814E+005	1,0870050E+000	-2,3362365E+000
1,4967155E+005	1,0751427E+000	-1,7356573E+000
1,1201009E+005	1,0703919E+000	-1,2861650E+000
8,3831281E+004	1,0707659E+000	-9,4769663E-001
6,2731957E+004	1,0755455E+000	-6,9298208E-001
4,6949230E+004	1,0822332E+000	-4,9963179E-001
3,5137691E+004	1,0923958E+000	-3,5307160E-001
2,6295281E+004	1,1038358E+000	-2,4168162E-001
1,9679703E+004	1,1187087E+000	-1,5648466E-001
1,4724984E+004	1,1349545E+000	-9,1794752E-002
1,1022866E+004	1,1533898E+000	-4,2525232E-002
8,2460791E+003	1,1730053E+000	-7,5482288E-003
6,1718745E+003	1,1934527E+000	1,7087009E-002
4,6185254E+003	1,2143788E+000	3,3583310E-002
3,4561082E+003	1,2338892E+000	4,2222269E-002
2,5874824E+003	1,2504405E+000	4,5577485E-002
1,9356161E+003	1,2652664E+000	4,5020524E-002
1,4486089E+003	1,2779168E+000	4,2215761E-002
1,0846555E+003	1,2878257E+000	3,8787086E-002
8,1130115E+002	1,2951175E+000	3,4617715E-002
6,0752704E+002	1,3009789E+000	3,0262114E-002
4,5456366E+002	1,3060117E+000	2,6962521E-002
3,4010858E+002	1,3102560E+000	2,4239229E-002
2,5459230E+002	1,3130733E+000	2,1729687E-002
1,9054860E+002	1,3159938E+000	1,9449487E-002
1,4258176E+002	1,3183019E+000	1,8616099E-002
1,0667294E+002	1,3206958E+000	1,8169567E-002
7,9872459E+001	1,3232170E+000	1,8631145E-002
5,9751423E+001	1,3258951E+000	1,8610138E-002
4,4728069E+001	1,3294175E+000	1,9585209E-002
3,3468456E+001	1,3316442E+000	2,0681392E-002
2,5040060E+001	1,3346257E+000	2,2219613E-002
1,8746258E+001	1,3392882E+000	2,3602309E-002
1,4026016E+001	1,3425694E+000	2,6027724E-002
1,0500699E+001	1,3465610E+000	2,8524537E-002
7,8596921E+000	1,3511114E+000	3,1921674E-002
5,8784785E+000	1,3569415E+000	3,5609476E-002
4,3989272E+000	1,3616832E+000	4,0570747E-002
3,2936335E+000	1,3692933E+000	4,5828842E-002
2,4637356E+000	1,3768606E+000	5,0316125E-002
1,8447489E+000	1,3857543E+000	5,8474775E-002
1,3807863E+000	1,3984210E+000	6,3715361E-002
1,0334030E+000	1,4079779E+000	7,3262967E-002
7,7320635E-001	1,4243855E+000	7,9425432E-002
5,7853240E-001	1,4452288E+000	8,5245781E-002
4,3308958E-001	1,4629923E+000	8,8642105E-002
3,2406226E-001	1,4841310E+000	8,9756034E-002
2,4244338E-001	1,5077651E+000	9,0562396E-002
1,8150061E-001	1,5265881E+000	8,4579170E-002
1,3580322E-001	1,5409757E+000	8,3712749E-002
1,0159984E-001	1,5634160E+000	8,1533812E-002
7,6049566E-002	1,5874231E+000	7,1879171E-002
5,6936592E-002	1,6058546E+000	5,6019753E-002
4,2606294E-002	1,6151844E+000	3,4583692E-002
3,1884909E-002	1,6161784E+000	1,6978439E-002
2,3856983E-002	1,6120385E+000	3,7420434E-003
1,7856434E-002	1,6046273E+000	-8,0340216E-003
1,3369620E-002	1,5937374E+000	-1,5117293E-002
9,9972636E-003	1,5838808E+000	-1,5942059E-002
