Ewe/V	<I>/mA	
3,0841827E-004	0,000000000000000E+000
3,0841827E-004	0,000000000000000E+000
3,0078707E-004	0,000000000000000E+000
8,7693986E-004	8,729057337592826E-004
8,8075543E-004	3,830541242271132E-001
8,9601771E-004	3,696769772457778E-001
8,5786189E-004	3,674920824559617E-001
9,0746442E-004	3,657341867451927E-001
8,6930871E-004	3,644923620511362E-001
8,9601777E-004	3,631672015023514E-001
8,4641512E-004	3,632334695606566E-001
9,1509562E-004	3,633728629295611E-001
8,6549309E-004	3,643093104782422E-001
8,8838657E-004	3,656526850267585E-001
8,8075548E-004	3,699060022101741E-001
8,8457100E-004	3,680977346426352E-001
8,8457100E-004	3,693961656129648E-001
8,9220220E-004	3,719035432114113E-001
8,5404632E-004	3,712494778064471E-001
8,9983328E-004	3,707391065197980E-001
8,3878404E-004	3,696043578772975E-001
8,5404632E-004	3,706641689537704E-001
8,3115289E-004	3,689273201860055E-001
8,6549309E-004	3,675778765135910E-001
8,7693980E-004	3,703013090338772E-001
8,8457100E-004	3,697940396326252E-001
8,5786189E-004	3,704817954075697E-001
8,6930860E-004	3,711145228915675E-001
8,6930871E-004	3,687590468997035E-001
8,8075543E-004	3,657624804389731E-001
8,3878404E-004	3,652371091722106E-001
8,5404638E-004	3,652673557108986E-001
8,5023080E-004	3,653989655117010E-001
8,4259955E-004	3,644756023153669E-001
8,5023075E-004	3,660445529007897E-001
8,6167752E-004	3,701460702704379E-001
8,5023080E-004	3,724808564047732E-001
8,3496841E-004	3,705318864489695E-001
8,8457100E-004	3,693355323096982E-001
8,1589050E-004	3,698285351958117E-001
8,5023075E-004	3,718577997746345E-001
8,5404632E-004	3,723489140458072E-001
8,7312423E-004	3,717950590775730E-001
8,8457100E-004	3,703893572319404E-001
8,8457100E-004	3,706583982345733E-001
8,3496841E-004	3,706727988840078E-001
8,5023075E-004	3,720365356254308E-001
8,6167752E-004	3,723499458201158E-001
8,5023080E-004	3,726690426258816E-001
8,3878404E-004	3,746631319458945E-001
8,8075537E-004	3,746326990294382E-001
8,3115284E-004	3,743002731942524E-001
8,1970613E-004	3,751897140274020E-001
8,5404638E-004	3,768617543056375E-001
8,5404632E-004	3,769601768890813E-001
8,2352170E-004	3,744689503616376E-001
8,9983339E-004	3,767565780031701E-001
8,3496841E-004	3,757413454741090E-001
8,8075537E-004	3,773598192653480E-001
8,8075537E-004	3,750435551437143E-001
8,2352170E-004	3,768920689247524E-001
8,6930860E-004	3,767827127928203E-001
8,9220220E-004	3,758724539342712E-001
8,7312429E-004	3,753193718731009E-001
1,5980847E-003	9,833327184178866E-001
5,0861053E-002	3,419811276195777E+001
5,0891578E-002	3,457267311535306E+001
5,0872501E-002	3,416137171641291E+001
5,0918285E-002	3,401376220722133E+001
5,0899211E-002	3,383732053864050E+001
5,0883949E-002	3,383177730577342E+001
5,0903026E-002	3,393069836692716E+001
5,0899211E-002	3,406628818358487E+001
5,0922103E-002	3,410372416399225E+001
5,0918289E-002	3,411161757620948E+001
5,0841976E-002	3,420392962688133E+001
5,0910655E-002	3,430388716953708E+001
5,0903026E-002	3,438663079650529E+001
5,0880134E-002	3,433525053168803E+001
5,0861057E-002	3,438768611574582E+001
5,0880130E-002	3,445263304579228E+001
5,0880134E-002	3,453829211701748E+001
5,0895393E-002	3,451073962532413E+001
5,0880130E-002	3,448157706050051E+001
5,0887764E-002	3,453620119975885E+001
5,0918285E-002	3,460019282658904E+001
5,0872501E-002	3,463476946854528E+001
5,0922103E-002	3,455532475294581E+001
5,0925918E-002	3,459122498273456E+001
5,0861053E-002	3,464213552631804E+001
5,0883949E-002	3,470355436865940E+001
5,0876316E-002	3,464547051404266E+001
5,0922103E-002	3,462338992266454E+001
5,0891578E-002	3,467350157706768E+001
5,0883949E-002	3,472701048726342E+001
5,0849605E-002	3,473655804609837E+001
5,0933547E-002	3,465643638422325E+001
5,0853424E-002	3,469526940446085E+001
5,0872501E-002	3,474426663165077E+001
5,0864868E-002	3,479153869018749E+001
5,0918289E-002	3,471500413777799E+001
5,0883949E-002	3,469385177747191E+001
5,0922103E-002	3,474124781443583E+001
5,0891578E-002	3,478385552730419E+001
5,0883945E-002	3,476087037352529E+001
5,0891578E-002	3,468532448080874E+001
5,0918285E-002	3,471790729260597E+001
5,0895393E-002	3,475623288866693E+001
5,0941180E-002	3,478864697639984E+001
5,0929733E-002	3,470261178974765E+001
5,0918285E-002	3,469670733555796E+001
5,0929733E-002	3,474446904407043E+001
5,0906844E-002	3,478576748642841E+001
5,0903026E-002	3,474435433917252E+001
5,0929736E-002	3,468244871932252E+001
5,0880130E-002	3,472594056917610E+001
5,0914470E-002	3,476823277376621E+001
5,0891578E-002	3,478584369492643E+001
5,0891578E-002	3,469658797520339E+001
5,0887764E-002	3,470123605271338E+001
5,0906841E-002	3,475097224095103E+001
5,0914470E-002	3,478863059990407E+001
5,0872501E-002	3,473431901634820E+001
5,0868686E-002	3,468023240914690E+001
5,0868683E-002	3,472241473859637E+001
8,0248661E-002	5,985861357270264E+001
1,0067728E-001	7,062467660254981E+001
1,0067347E-001	6,866464380767390E+001
1,0070018E-001	6,807273443603154E+001
1,0064676E-001	6,792335840228974E+001
1,0067347E-001	6,794992942346879E+001
1,0070018E-001	6,801932254503380E+001
1,0067728E-001	6,796052795889277E+001
1,0068491E-001	6,797479994564247E+001
1,0067728E-001	6,815136037948508E+001
1,0065439E-001	6,831049811696472E+001
1,0072307E-001	6,833487708028811E+001
1,0065057E-001	6,825207899317446E+001
1,0067728E-001	6,833818124296923E+001
1,0068491E-001	6,849737095646336E+001
1,0066965E-001	6,858120515047573E+001
1,0064294E-001	6,846338861765324E+001
1,0067728E-001	6,844924375493017E+001
1,0068110E-001	6,857780923059012E+001
1,0069636E-001	6,868493194295203E+001
1,0068873E-001	6,862701899288062E+001
1,0068491E-001	6,852619413986972E+001
1,0067347E-001	6,859066232539723E+001
1,0067347E-001	6,871536245824714E+001
1,0066965E-001	6,874804943111879E+001
1,0068873E-001	6,860436947143444E+001
1,0063531E-001	6,860732002235125E+001
1,0069255E-001	6,873224222094163E+001
1,0068110E-001	6,882920846942392E+001
1,0065057E-001	6,872894523599506E+001
